1;B.3.;C.3.;;;;;
2;D.10.;E.4.;E.6.;E.8.;;;
3;A.2.;A.7.;C.1.;D.5.;E.7.;E.9.;
4;A.5.;A.7.;C.1.;C.2.;D.6.;D.7.;E.8.
5;C.2.;E.4.;;;;;
6;C.2.;D.8.;D.9.;E.6.;E.9.;;
7;A.1.;A.2.;A.3.;B.2.;C.1.;C.3.;E.2.
8;A.5.;B.4.;C.1.;D.1.;D.3.;D.4.;
9;A.1.;A.6.;E.1.;E.8.;;;
10;A.5.;C.2.;;;;;
11;D.8.;E.4.;;;;;
12;A.3.;B.5.;D.9.;E.1.;E.7.;E.8.;
13;A.6.;C.3.;;;;;
14;A.8.;B.2.;E.4.;E.7.;;;
15;B.5.;D.8.;E.1.;;;;
16;A.1.;B.3.;C.4.;D.8.;D.9.;;
17;B.5.;D.1.;D.4.;E.8.;;;
18;B.2.;B.3.;C.1.;D.2.;D.6.;D.9.;E.2.
19;A.3.;A.5.;A.6.;C.4.;;;
20;B.1.;B.4.;;;;;
21;A.3.;B.2.;C.2.;D.6.;D.9.;E.9.;
22;A.4.;A.6.;A.8.;D.4.;D.5.;D.7.;
23;C.3.;E.2.;;;;;
24;A.6.;B.3.;C.3.;D.2.;;;
25;A.1.;A.3.;B.2.;B.5.;D.9.;E.7.;
26;D.7.;E.5.;;;;;
27;A.3.;A.5.;B.3.;C.2.;;;
28;A.8.;B.5.;D.6.;D.9.;;;
29;B.1.;B.5.;C.2.;D.2.;E.1.;E.2.;
30;A.3.;A.5.;A.6.;D.2.;D.4.;E.3.;E.4.
31;A.6.;B.4.;D.6.;;;;
32;A.2.;C.2.;C.3.;D.5.;;;
33;A.5.;B.3.;D.3.;;;;
34;B.1.;D.9.;E.2.;;;;
35;A.2.;A.4.;;;;;
36;A.5.;A.7.;B.2.;D.5.;D.10.;E.9.;
37;A.3.;C.1.;D.5.;D.10.;E.1.;;
38;A.4.;A.7.;B.1.;B.3.;D.5.;E.2.;E.4.
39;B.4.;B.5.;D.3.;E.1.;E.8.;;
40;A.7.;C.1.;C.2.;D.3.;D.9.;;
41;A.6.;A.8.;B.4.;B.5.;C.1.;E.3.;E.8.
42;C.2.;D.7.;E.7.;;;;
43;A.4.;E.6.;;;;;
44;A.3.;A.4.;C.4.;E.3.;E.6.;;
45;A.3.;A.4.;B.1.;D.5.;D.6.;E.6.;
46;B.1.;D.2.;D.3.;D.4.;D.9.;;
47;A.4.;A.6.;E.7.;;;;
48;B.1.;B.3.;D.2.;D.4.;D.10.;E.6.;E.9.
49;A.3.;A.8.;B.1.;B.4.;D.8.;D.9.;E.1.
